Primary Type,Location Description,Arrest,Domestic,Year
CRIMINAL TRESPASS,street,0,False,2023
DECEPTIVE PRACTICE,other (specify),0,False,2023
CRIMINAL DAMAGE,street,0,False,2023
MOTOR VEHICLE THEFT,street,0,False,2023
CONCEALED CARRY LICENSE VIOLATION,airport terminal upper level - non-secure area,1,False,2023
OFFENSE INVOLVING CHILDREN,apartment,0,True,2023
THEFT,parking lot / garage (non residential),0,False,2023
CRIMINAL DAMAGE,street,0,False,2023
ASSAULT,residence,0,True,2023
THEFT,parking lot / garage (non residential),0,False,2023
MOTOR VEHICLE THEFT,street,0,False,2023
OFFENSE INVOLVING CHILDREN,apartment,0,True,2023
WEAPONS VIOLATION,alley,0,False,2023
ASSAULT,residence - porch / hallway,0,False,2023
THEFT,department store,0,False,2023
THEFT,bar or tavern,0,False,2023
ASSAULT,apartment,0,False,2023
CRIMINAL DAMAGE,residence,0,False,2023
BATTERY,apartment,0,True,2023
ASSAULT,street,0,False,2023
DECEPTIVE PRACTICE,residence - garage,0,False,2023
BATTERY,alley,0,True,2023
CRIMINAL DAMAGE,government building / property,1,False,2023
THEFT,tavern / liquor store,0,False,2023
BATTERY,residence,0,True,2023
DECEPTIVE PRACTICE,convenience store,0,False,2023
BATTERY,street,0,True,2023
CRIMINAL DAMAGE,school - public building,0,False,2023
BURGLARY,commercial / business office,0,False,2023
CRIMINAL DAMAGE,street,0,False,2023
CRIMINAL DAMAGE,street,0,False,2023
BATTERY,apartment,0,True,2023
BATTERY,residence,0,True,2023
BATTERY,street,0,False,2023
THEFT,residence - porch / hallway,0,False,2023
ROBBERY,bank,0,False,2023
MOTOR VEHICLE THEFT,street,0,False,2023
OTHER OFFENSE,police facility / vehicle parking lot,0,False,2023
DECEPTIVE PRACTICE,cta platform,0,False,2023
OTHER OFFENSE,auto / boat / rv dealership,0,False,2023
THEFT,small retail store,0,False,2023
BATTERY,school - public building,0,True,2023
CRIMINAL SEXUAL ASSAULT,college / university - residence hall,0,True,2023
THEFT,street,0,False,2023
NARCOTICS,park property,1,False,2023
CRIMINAL DAMAGE,street,0,False,2023
MOTOR VEHICLE THEFT,vehicle non-commercial,0,False,2023
THEFT,street,0,False,2023
BATTERY,apartment,1,False,2023
CRIMINAL TRESPASS,residence - porch / hallway,0,False,2023
BATTERY,street,0,True,2023
OTHER OFFENSE,commercial / business office,0,False,2023
ROBBERY,street,0,False,2023
CRIMINAL DAMAGE,street,0,False,2023
BATTERY,street,0,True,2023
BATTERY,apartment,1,True,2023
ASSAULT,apartment,0,False,2023
WEAPONS VIOLATION,street,1,False,2023
MOTOR VEHICLE THEFT,street,0,False,2023
THEFT,commercial / business office,0,False,2023
